"PAN, Solicitation, or Contract Number
","If Follow-on, Provide Current Contract Number",Description of Requirement ,Consolidation Anticipated?,Bundling Anticipated?,Forecasted contract value,Forecasted_PSC,Anticipated NAICS ,"Anticipated Type of Set Aside 
or Unknown",PROCACT,"Indefinite Delivery Vehicle Type (for task/delivery orders) 
or Unknown","Anticipated Contract Type 
or Unknown",Anticipated Solicitation Date,Anticipated Solicitation Closing Date,Forecasted Award Date,Period of Performance,Contracting Office,Contracting Office,Requiring Activity Office ,Assigned Small Business Office ,Assigned Small Business Office Email
W911S2-25-U-DFAC,,DFAC Maintenance Reprocure,No,No,$1M to $5M,J073,811310,,CONTR,,Firm Fixed Price,12/16/2024,1/16/2025,,12,MICC,419TH CSB,AMC: ASC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANRSA-24-P-0000 015844,,Aldridge Grinder,,,$25K to $250K,J034,,,PO,,Firm Fixed Price,,,12/20/2024,TBD,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W58RGZ-24-B-0032,,"AX5M3456AX PRID M215-01 TRANSMISSION, MECHAN",No,No,$50M to $100M,1615,336413,,CONTR,,Firm Fixed Price,6/14/2024,12/12/2025,3/19/2025,60,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANMCC-24-P-0000 010537,W9124D20D0005,2nd-New York-NM-Follow On (FY 25),,,$250K to $1M,S203,,SMALL BUSINESS SET ASIDE - TOTAL,CONTR,,Firm Fixed Price,2/6/2025,3/7/2025,4/30/2025,12,MICC,FDO FSH,"HQ, DA",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANAPG-24-P-0000 019856,,FY25 Red Hat renewal,No,No,$50M to $100M,R425,513210,,CONTR,,Firm Fixed Price,1/16/2025,1/23/2025,12/27/2024,12,ACC CTRS,ACC-APG,AMC: CECOM,ACC OSBP - APG,https://osbp.apg.army.mil
PANDTA-23-P-0000 006221,W50NH920F0015,ARTPC Source Selection Cabinet,,,$50M to $100M,R423,,,DO NEG,,Cost Plus Fixed Fee,,,,66,ACC CTRS,ACC-DTA,INSCOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W9124P-25-F-0055,,EG-B-VHD L016 PR 12217103 R&R,,,$250K to $1M,J010,,,DO,,Firm Fixed Price,11/19/2024,,12/13/2024,18,ACC CTRS,ACC-RSA,AMC: USASAC,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W91QV1-25-F-9999,,SAF JBMHH Catholic Coordinator OY2,,,$25K to $250K,G002,,,DO,,Firm Fixed Price,11/18/2024,,12/16/2024,12,MICC,FDO FSH,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-25-P-0000 009128,,11906438 IA009 CUSTODIAL OPT 1 FY23 DEOB,,,< $25K,S201,,,,,,,,3/31/2025,12,MICC,419TH CSB,USARC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W58RGZ-24-R-0058,,PRID RB714  1-Yr_One-Time Buy DCU 01-557-9608,No,No,$1M to $5M,6610,334511,,CONTR,,Firm Fixed Price,3/6/2024,12/30/2024,5/5/2025,12,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
