NAICS CODE,NAICS DESCRIPTOR,DATE POSTED IN FEDERAL REGISTER,FEDERAL REGISTER NOTICE
311314,"Sugar, Granulated & Brown Manufacturing",10/2/1991,56 Fed. Reg. 49841
311421,"Apricots, Canned, Manufacturing",9/23/1991,56 Fed. Reg. 47899
311421,"Citrus Sections, Canned Manufacturing",10/2/1991,56 Fed. Reg. 49837
311421,"Spinach, Canned, Manufacturing",10/2/1991,56 Fed. Reg. 49837
311421,"Tomato Paste, Canned Manufacturing",9/23/1991,56 Fed. Reg. 47889
311711,"Tuna, Canned, Manufacturing",10/2/1991,56 Fed. Reg. 49837
314110,"Carpet, 6-Ft Vinyl Back Broadloom Manufacturing",5/15/1991,56 Fed. Reg. 55595
314110,"Carpet, Woven, 6-FT Vinyl Back
Broadloom Manufacturing",5/15/1991,56 Fed. Reg.55595
314110,Carpet Tile Manufacturing,5/15/1991,56 Fed. Reg. 22295
315180,Calcium Inorganic Compounds not Specified Elsewhere by Process Manufacturing,2/24/1992,57 Fed. Reg. 6290
315180,Hydrofluoric Acid Manufacturing,2/24/1992,57 Fed. Reg. 6290
315990,Woven and Knit Impregnated with Flat Dipped Rubber/ Plastic Gloves Manufacturing,11/5/2010,5 Fed. Reg. 68394
322224,Paper Bags (Small Hardware Type) Manufacturing,10/2/1991,56 Fed. Reg. 49837
322230,"Paper Products, Die-Cut Office Supply, Made from Purchased Paper, or Paperboard Manufacturing",5/1/2008,To be provided
322230,"Office Supplies, Paper & Toner Manufacturing",1/12/2006,To be provided
323117,Thesauruses & Dictionaries Manufacturing,8/3/1990,To be provided
324110,Refinery Gases Made in Petroleum Refineries Manufacturing,Terminated 8/2/2011.,Terminated 8/2/2011. 76 FR 42157
324199,Hydrocarbon Diluent Manufacturing,2/24/1992,57 Fed. Reg. 6290
325110,"Heptane Made from Refined Petroleum
Or Liquid Hydrocarbons Manufacturing",5/15/1991,56 Fed. Reg. 22306
325110,"Benzene Made from Refined Petroleum
or Liquid Hydrocarbons Manufacturing",5/15/1991,56 Fed. Reg. 22295
325110,Heptane Made from Refined Petroleum or Liquid Hydrocarbons,5/15/1991,56 Fed. Reg. 22306
325110,"Toluene Made from Refined Petroleum or Liquid Hydrocarbons
Manufacturing",5/15/1991,56. Fed. Reg. 22295
325120,Industrial Gases Manufacturing,4/27/2006,71 Fed. Reg. 24889
325120,"Gases, Industrial (I.E., Compressed, Liquefied, Solid), Manufacturing",6/23/2010,75 Fed. Reg. 32519
325180,"Caustic soda (i.e., sodium hydroxide)
manufacturing",5/15/1991,56 Fed. Reg. 22295
325180,"Soda Ash, Manufacturing",5/15/1991,56 Fed. Reg. 22295
