NAICS Codes,NAICS Industry Description,Size standards in millions of dollars,Size standards in number of employees,Footnotes
111110,,$2.25 ,,
111120,,$2.25 ,,
111130,,$2.75 ,,
111140,,$2.25 ,,
111150,,$2.50 ,,
111160,,$2.50 ,,
111191,,$2.25 ,,
111199,,$2.25 ,,
111211,,$4.25 ,,
111219,,$3.75 ,,
111310,,$4.00 ,,
111320,,$4.25 ,,
111331,,$4.50 ,,
111332,,$4.00 ,,
111333,,$5.50 ,,
111334,,$3.75 ,,
111335,,$3.75 ,,
111336,,$5.00 ,,
111339,,$3.50 ,,
111411,,$4.50 ,,
111419,,$4.50 ,,
111421,,$3.25 ,,
111422,,$3.75 ,,
111910,,$2.50 ,,
111920,,$3.25 ,,
111930,,$5.00 ,,
111940,,$2.50 ,,
111991,,$2.50 ,,
111992,,$2.50 ,,
111998,,$2.50 ,,
112111,,$2.50 ,,
112112,,$22.00 ,,
112120,,$3.75 ,,
112210,,$4.00 ,,
112310,,$19.00 ,,
112320,,$3.50 ,,
112330,,$3.75 ,,
112340,,$4.00 ,,
112390,,$3.75 ,,
112410,,$3.50 ,,
112420,,$2.50 ,,
112511,,$3.75 ,,
112512,,$3.75 ,,
112519,,$3.75 ,,
112910,,$3.25 ,,
112920,,$2.75 ,,
112930,,$3.75 ,,
112990,,$2.75 ,,
113110,,$19.00 ,,
113210,,$20.50 ,,
113310,,,500,
114111,,$25.00 ,,
114112,,$14.00 ,,
114119,,$11.50 ,,
114210,,$8.50 ,,
115111,,$16.00 ,,
115112,,$9.50 ,,
115113,,$13.50 ,,
115114,,$34.00 ,,
115115,,$19.00 ,,
115116,,$15.50 ,,
115210,,$11.00 ,,
115310,,$11.50 ,,
115310 (Exception 1),,$34.00 ,,See footnote 1
115310 (Exception 2),,$34.00 ,,See footnote 1
211120,,,"1,250",
211130,,,"1,250",
212114,,,"1,250",
212115,,,"1,500",
212210,,,"1,400",
212220,,,"1,500",
212230,,,1400,
212290,,,1250,
212311,,,500,
212312,,,750,
212313,,,850,
212319,,,550,
212321,,,500,
212322,,,750,
212323,,,650,
212390,,,600,
213111,,,"1,000",
213112,,$47.00 ,,
213113,,$27.50 ,,
213114,,$41.00 ,,
213115,,$20.50 ,,
221111,,,750,
221112,,,950,
221113,,,"1,150",
221114,,,500,
221115,,,"1,150",
221116,,,250,
221117,,,550,
221118,,,650,
221121,,,950,
221122,,,"1,100",
221210,,,"1,150",
221310,,$41.00 ,,
221320,,$35.00 ,,
221330,,$30.00 ,,
236115,,$45.00 ,,
236116,,$45.00 ,,
236117,,$45.00 ,,
236118,,$45.00 ,,
236210,,$45.00 ,,
236220,,$45.00 ,,
237110,,$45.00 ,,
237120,,$45.00 ,,
237130,,$45.00 ,,
237210,,$34.00 ,,
237310,,$45.00 ,,
237990,,$45.00 ,,
237990 (Exception),,$37.00 ,,See footnote 2
238110,,$19.00 ,,
238120,,$19.00 ,,
238130,,$19.00 ,,
238140,,$19.00 ,,
238150,,$19.00 ,,
238160,,$19.00 ,,
238170,,$19.00 ,,
238190,,$19.00 ,,
238210,,$19.00 ,,
238220,,$19.00 ,,
238290,,$22.00 ,,
238310,,$19.00 ,,
238320,,$19.00 ,,
238330,,$19.00 ,,
238340,,$19.00 ,,
238350,,$19.00 ,,
238390,,$19.00 ,,
238910,,$19.00 ,,
238990,,$19.00 ,,
238990 (Exception),,$19.00 ,,See footnote 13
311111,,,"1,250",
311119,,,650,
311211,,,"1,050",
311212,,,750,
311213,,,500,
311221,,,"1,300",
311224,,,"1,250",
311225,,,"1,100",
311230,,,"1,300",
311313,,,"1,150",
311314,,,"1,050",
311340,,,"1,000",
311351,,,"1,250",
311352,,,"1,000",
311411,,,"1,100",
311412,,,"1,250",
311421,,,"1,000",See footnote 3
311422,,,"1,400",
311423,,,750,
311511,,,"1,150",
311512,,,750,
311513,,,"1,250",
311514,,,"1,000",
311520,,,"1,000",
311611,,,"1,150",
311612,,,"1,000",
311613,,,750,
311615,,,"1,250",
311710,,,750,
311811,,,500,
311812,,,"1,000",
311813,,,750,
311821,,,"1,250",
311824,,,850,
311830,,,"1,250",
311911,,,750,
311919,,,"1,250",
311920,,,"1,000",
311930,,,"1,100",
311941,,,850,
311942,,,650,
311991,,,700,
311999,,,700,
312111,,,"1,400",
312112,,,"1,100",
312113,,,750,
312120,,,"1,250",
312130,,,"1,000",
312140,,,"1,100",
312230,,,"1,500",
313110,,,"1,250",
313210,,,"1,000",
313220,,,550,
313230,,,850,
313240,,,500,
313310,,,"1,000",
313320,,,"1,000",
314110,,,"1,500",
314120,,,750,
314910,,,500,
314994,,,"1,000",
314999,,,550,
315120,,,850,
315210,,,750,
315250,,,750,
315990,,,600,
316110,,,800,
316210,,,"1,000",
316990,,,500,
321113,,,550,
321114,,,550,
321211,,,600,
321212,,,"1,250",
321215,,,500,
321219,,,750,
321911,,,"1,000",
321912,,,500,
321918,,,500,
321920,,,500,
321991,,,"1,250",
321992,,,500,
321999,,,500,
322110,,,"1,050",
322120,,,"1,250",
322130,,,"1,250",
322211,,,"1,250",
322212,,,750,
322219,,,"1,000",
322220,,,750,
322230,,,750,
322291,,,"1,500",
322299,,,500,
323111,,,650,
323113,,,500,
323117,,,"1,250",
323120,,,550,
324110,,,"1,500",See footnote 4
324121,,,500,
324122,,,"1,100",
324191,,,900,
324199,,,950,
325110,,,"1,300",
325120,,,"1,200",
325130,,,"1,050",
325180,,,"1,000",
325193,,,"1,000",
325194,,,"1,250",
325199,,,"1,250",
325211,,,"1,250",
325212,,,"1,000",
325220,,,"1,050",
325311,,,"1,050",
325312,,,"1,350",
325314,,,550,
325315,,,550,
325320,,,"1,150",
325411,,,"1,000",
325412,,,"1,300",
325413,,,"1,250",
325414,,,"1,250",
325510,,,"1,000",
325520,,,550,
325611,,,"1,100",
325612,,,900,
325613,,,"1,100",
325620,,,"1,250",
325910,,,750,
325920,,,750,
325991,,,600,
325992,,,"1,500",
325998,,,650,
326111,,,750,
326112,,,"1,000",
326113,,,750,
326121,,,600,
326122,,,750,
326130,,,650,
326140,,,"1,000",
326150,,,750,
326160,,,"1,250",
326191,,,750,
326199,,,750,
326211,,,"1,500",See footnote 5
326212,,,500,
326220,,,800,
326291,,,750,
326299,,,650,
327110,,,"1,000",
327120,,,750,
327211,,,"1,100",
327212,,,"1,250",
327213,,,"1,250",
327215,,,"1,000",
327310,,,"1,000",
327320,,,500,
327331,,,500,
327332,,,750,
327390,,,500,
327410,,,"1,050",
327420,,,"1,500",
327910,,,900,
327991,,,500,
327992,,,600,
327993,,,"1,500",
327999,,,750,
331110,,,"1,500",
331210,,,"1,000",
331221,,,"1,000",
331222,,,"1,000",
331313,,,"1,300",
331314,,,750,
331315,,,"1,400",
331318,,,750,
331410,,,"1,000",
331420,,,"1,050",
331491,,,900,
331492,,,850,
331511,,,"1,000",
331512,,,"1,050",
331513,,,700,
331523,,,700,
331524,,,550,
331529,,,500,
332111,,,750,
332112,,,950,
332114,,,600,
