NAICS Codes,NAICS Industry Description,Size standards in millions of dollars,Size standards in number of employees,Footnotes
111110,Soybean Farming,$2.25 ,,
111120,Oilseed (except Soybean) Farming,$2.25 ,,
111130,Dry Pea and Bean Farming,$2.75 ,,
111140,Wheat Farming,$2.25 ,,
111150,Corn Farming,$2.50 ,,
111160,Rice Farming,$2.50 ,,
111191,Oilseed and Grain Combination Farming,$2.25 ,,
111199,All Other Grain Farming,$2.25 ,,
111211,Potato Farming,$4.25 ,,
111219,Other Vegetable (except Potato) and Melon Farming  ,$3.75 ,,
111310,Orange Groves,$4.00 ,,
111320,Citrus (except Orange) Groves,$4.25 ,,
111331,Apple Orchards,$4.50 ,,
111332,Grape Vineyards,$4.00 ,,
111333,Strawberry Farming,$5.50 ,,
111334,Berry (except Strawberry) Farming,$3.75 ,,
111335,Tree Nut Farming,$3.75 ,,
111336,Fruit and Tree Nut Combination Farming,$5.00 ,,
111339,Other Noncitrus Fruit Farming,$3.50 ,,
111411,Mushroom Production,$4.50 ,,
111419,Other Food Crops Grown Under Cover,$4.50 ,,
111421,Nursery and Tree Production,$3.25 ,,
111422,Floriculture Production,$3.75 ,,
111910,Tobacco Farming,$2.50 ,,
111920,Cotton Farming,$3.25 ,,
111930,Sugarcane Farming,$5.00 ,,
111940,Hay Farming,$2.50 ,,
111991,Sugar Beet Farming  ,$2.50 ,,
111992,Peanut Farming  ,$2.50 ,,
111998,All Other Miscellaneous Crop Farming,$2.50 ,,
112111,Beef Cattle Ranching and Farming,$2.50 ,,
112112,Cattle Feedlots,$22.00 ,,
112120,Dairy Cattle and Milk Production,$3.75 ,,
112210,Hog and Pig Farming,$4.00 ,,
112310,Chicken Egg Production,$19.00 ,,
112320,Broilers and Other Meat Type Chicken Production  ,$3.50 ,,
112330,Turkey Production,$3.75 ,,
112340,Poultry Hatcheries,$4.00 ,,
112390,Other Poultry Production,$3.75 ,,
112410,Sheep Farming,$3.50 ,,
112420,Goat Farming,$2.50 ,,
112511,Finfish Farming and Fish Hatcheries,$3.75 ,,
112512,Shellfish Farming,$3.75 ,,
112519,Other Aquaculture,$3.75 ,,
112910,Apiculture,$3.25 ,,
